column_or_row_name,unit,definition,data_type,missing_value_code
file_name,N/A,Name of the files in the dataset/data package.,text,
file_description,N/A,A brief description of the files in the dataset/data package.,text,
standard,N/A,Standard applied to the data file.,text,
file_version,N/A,Version of the file described within file level metadata file. ,text,
data_orientation,N/A,Description of how the data are organized within the data file.,text,
header_rows,N/A,Total number of header rows before the start of the first data row.,numeric,
column_or_row_name_position,N/A,Row or column number that contains the header names.,numeric,
column_or_row_name,N/A,Column or row name contained within a file.,text,
unit,N/A,Unit of column or row name within file.,text,
definition,N/A,Definition of column or row name.,text,
column_or_row_long_name,N/A,Longer human-readable column or row name.,text,
data_type,N/A,Type of data that the column or row contains.,text,
missing_value_code,N/A,Missing value code used within a column.,text,
Site_Number,N/A,"Unique identifier for each sample, corresponding to the number of the metal tag affixed to a stake at the corner of each plot.",text,NA
Location_Type,N/A,Broad land cover classification for the measurement site. meadow=site with predominantly herbaceous vegetation or site with woody shrubs less than 0.5 m tall. shrub=woody plants with canopies greater than 1 m^2 and up to 3 m tall. tree=woody plants more than 3 m tall and belonging to a pre-defined species list. understory=predominantly herbaceous ground cover under quaking aspen (Populus tremuloides) forest canopy measured in an ancillary aspen understory project. overstory=quaking aspen (P. tremuloides) trees more than 3 m tall measured in an ancillary aspen understory project.,text,NA
Sampling_Area,N/A,Two-letter code identifying the sampling area within the study region.,text,NA
Collection_Date,YYYY-MM-DD,Calendar date of field data collection following ISO 8601 format: YYYY-MM-DD.,date,NA
Light_Conditions,N/A,"Description of sky and illumination conditions during measurement (e.g., clear and sunny, cloudy, hazy).",text,NA
Requires_K,N/A,Whether a scattering correction (K record) is required for LAI computation. TRUE under sunny or hazy conditions; FALSE under fully cloudy or overcast skies where diffuse light predominates.,text,NA
Associated_K,N/A,Site_Number of the site whose K record is used for scattering correction. NA when Requires_K is FALSE. Multiple sites may share a single K record if measured under similar open-sky conditions.,text,NA
Contains_K,N/A,"Whether the K (scattering correction) measurements were physically collected at this site (TRUE) or at the site identified in Associated_K (FALSE). When TRUE, the K records are contained in the same file as the A and B records.",text,NA
K_Record_Azimuth,degrees,"Comma-separated list of azimuths (degrees) toward which the K record sensor view cap was oriented during scattering correction measurements. Meadow sites typically use four azimuths (315, 225, 135, 45); shrub sites typically use a single azimuth (0). NA when Requires_K is FALSE.",text,NA
Asky_FOV,degrees,Field-of-view angle of the sensor cap used during A and B record collection.,numeric,NA
Widesky_FOV,degrees,Wide-sky field-of-view angle used for the full hemispherical reference measurement.,numeric,NA
Latitude,decimal degrees,"Latitude of the measurement site in decimal degrees, WGS 84 datum. NOTE: These values represent measurement site centroids. They are used for scattering correction computations and are not intended for precise geospatial analysis. For accurate geospatial information, please use the geojson files in the associated package 'CHESS 2025: Location data for field observations and sampling.'",numeric,NA
Longitude,decimal degrees,"Longitude of the measurement site in decimal degrees, WGS 84 datum. These values represent measurement site centroids. They are used for scattering correction computations and are not intended for precise geospatial analysis. For accurate geospatial information, please use the geojson files in the associated package 'CHESS 2025: Location data for field observations and sampling.'",numeric,NA
Notes,N/A,"Free-text field documenting measurement anomalies, terrain conditions, procedural deviations, or additional context. NA indicates no notes were recorded.",text,NA
QC_Flag,N/A,Controlled-text field with codes indicating QC flags. g1: One or more gap fraction values exceeded 1.0 and were capped at 1.0. a0: A record contains one or more 0.0 values; gap fraction is coerced to NA and excluded from LAI and scattering correction computations. b0: B record contains one or more 0.0 values; gap fraction is allowed to stand at 0.0 and is included in LAI and scattering correction computations.,text,NA
Focal_Tree_Species,N/A,"Four-letter USDA taxonomic species code for the focal tree within or near the LAI plot. ABLA=subalpine fir (Abies lasiocarpa), PICO=lodgepole pine (Pinus contorta), PIEN=Engelmann spruce (Picea engelmannii), POTR=quaking aspen (Populus tremuloides), PSME=Rocky Mountain Douglas fir (Pseudotsuga menziesii).",text,NA
Plot_Contains_Focal_Tree,N/A,Whether the LAI measurement plot physically contains the focal tree (TRUE) or is located nearby in a representative stand (FALSE).,text,NA
A_Record,N/A,Identifier for the LI-COR LAI-2200C A (above-canopy reference) data record in the raw instrument file. Often shared across multiple sites within a sampling area and measured under similar open-sky conditions.,text,NA
B_Record,N/A,Identifier for the LI-COR LAI-2200C B (below-canopy) data record in the raw instrument file. Typically unique to each site.,text,NA
K_Record,N/A,Identifier for the LI-COR LAI-2200C K (scattering correction) data record in the raw instrument file. Sometimes shared across nearby sites measured under similar open-sky conditions.,text,NA
A_Record_Azimuth,degrees,"Compass azimuth toward which the sensor was oriented for A and B records, and for the final K record observation.",numeric,NA
