column_or_row_name,BERVO Combination,BERVO Term,unit,definition,data_type,missing_value_code
file_name,unnecessary?,,N/A,Name of the files in the dataset/data package.,text,
file_description,unnecessary?,,N/A,A brief description of the files in the dataset/data package.,text,
standard,unnecessary?,,N/A,Standard applied to the data file.,text,
column_or_row_name,unnecessary?,,N/A,Column or row name contained within a file.,text,
unit,unnecessary?,,N/A,Unit of column or row name within file.,text,
definition,unnecessary?,,N/A,Definition of column or row name.,text,
data_type,unnecessary?,,N/A,Type of data that the column or row contains.,text,
missing_value_code,unnecessary?,,N/A,Missing value code for a column or row name.,text,
date,Date,bervo:BERVO_8000239,YYYY-MM-DD,Date the measurement was acquired (yyyy-mm-dd),date,
start_time,,,hh:ss,When spectrometer measurements began. Not recorded for all sites. All times in Mountain Standard Time: UTC - 07:00,time,
end_time,,,hh:ss,When spectrometer measurements concluded. Not recorded for all sites. All times in Mountain Standard Time: UTC - 07:00,time,
collector,,,N/A,First and last name of person operating the ASD,text,
instrument,,,N/A,PINK or TEAL according to which instrument was used to collect the spectral data,text,
sampling_area,,,N/A,Six-letter code for the area where the measurements were acquired,text,
site_number,,,N/A,Four-digit number corresponding to a unique 1mx1m meadow sample site. Zeros indicate locations outside the CHESS vegetation team's sample sites.,numeric,
asd_mode,,,N/A,Configuration of the ASD FieldSpec4. PRX= proximal w/ 8 degree FOV foreoptic; CP= contact probe; LC= leaf clip,text,
sample_type,"Site, attribute = type",bervo:BERVO_8000514,N/A,"Short description of the target surface. WR = white reference; BR= black reference; plot=measurements of a 1mx1m sample site (mixed surfaces); bad=bad quality measurement, do not use; PV=photosynthetic vegetation; NPV=non-photosynthetic vegetation; misc=miscellaneous; cal_val=calibration or validation.",text,
species,Taxon,bervo:BERVO_8000324,N/A,"Species (if known) for PV, NPV, and flower samples",text,
asd_file,,,N.A,Name of ASD file.,text,
asd_filenumber,,,N/A,"number at the end of the asd filepath. EX: ""10"" corresponds to the asd file ""/{asd_basename}_00010.asd""",numeric,
asd_basename,,,N/A,"ASD file basename, not including file number",text,
notes,,,N/A,field notes recorded at the time the measurement was acquired,text,
geometry,,,N/A,empty for all metadata_*.csv files. Not a required field,text,
3*,,,%,Pre-processed reflectance spectra. Wildcard used in column_or_row_name field to denote values in 300-399 reflectance range.,numeric,
4*,,,%,Pre-processed reflectance spectra. Wildcard used in column_or_row_name field to denote values in 400-499 reflectance range.,numeric,
5*,,,%,Pre-processed reflectance spectra. Wildcard used in column_or_row_name field to denote values in 500-599 reflectance range.,numeric,
6*,,,%,Pre-processed reflectance spectra. Wildcard used in column_or_row_name field to denote values in 600-699 reflectance range.,numeric,
7*,,,%,Pre-processed reflectance spectra. Wildcard used in column_or_row_name field to denote values in 700-799 reflectance range.,numeric,
8*,,,%,Pre-processed reflectance spectra. Wildcard used in column_or_row_name field to denote values in 800-899 reflectance range.,numeric,
9*,,,%,Pre-processed reflectance spectra. Wildcard used in column_or_row_name field to denote values in 900-999 reflectance range.,numeric,
10*,,,%,Pre-processed reflectance spectra. Wildcard used in column_or_row_name field to denote values in 1000-1099 reflectance range.,numeric,
11*,,,%,Pre-processed reflectance spectra. Wildcard used in column_or_row_name field to denote values in 1100-1199 reflectance range.,numeric,
12*,,,%,Pre-processed reflectance spectra. Wildcard used in column_or_row_name field to denote values in 1200-1299 reflectance range.,numeric,
13*,,,%,Pre-processed reflectance spectra. Wildcard used in column_or_row_name field to denote values in 1300-1399 reflectance range.,numeric,
Contact_Name,,,Free Text,Primary contact person for the location. This could be a PI or technician responsible for answering questions regarding the location and associated instrumentation,text,
Contact_Email,,,Valid Email,Best email address for the contact (can be an individual or group email address),text,
Contact_Affiliation,,,Free Text,Primary instittuion the contact is affiliated with,text,
Metadata_Provider_Name,,,Free Text,Person/People who provided the location metadata. Separate names using semicolons.,text,
Location_ID,,,AA-XXXY,"Persistent site identifier that is unique across the East-Taylor Watershed Community Observatory. For the format AA-XXXY, where A is the drainage basin (except for Snodgrass), X is a letter and Y is a number. This site ID should be used while referring to the locations in datasets or publications about the site.",text,
Location_Name,,,Free Text,"A location name that is more commonly used. Location names are not necessarily unique, can change over time, and should not be solely used to identify sites.",text,
Location_Alias,,,Free Text,"An optional field to indicate other names or identifiers that have been used for the site, either before the formal site ID system was established or names used by other organizations.",text,
Location_Activity,,,Free Text,Keyword that indicates the primary purpose of the location being established as a measurement point (e.g. Water Quality Monitoring Station). Locations are typically grouped by the Location Activity for display in maps or on the SFA portal. This field was referred to as Location Type in version 1.,text,
Location_Category,,,Controlled List,"Choices are SFA Intensive, SFA Satellite, SFA One-off Sampling, SFA Collaborator, External Datasource. SFA Intensive then refers to the locations where several measurements are made and produce data for multiple years - e.g. the sites in Pumphouse, Snodgrass regions. SFA Satellite locations are other locations where there is some regular sampling (e.g. Brush Creek Confluence), but it isn't part of a cohort of measurements. For locations that are sampled intermittently or only once, use SFA One-off sampling",text,
Measurement_Categories,,,Controlled List,"One or a combination of the following categories - Hydrogeology, Biogeochemistry, Climate, Vegetation. Multiple categories should be separated by semicolons.",text,
Years_Data_Collected,"Date, Context=Start",bervo:BERVO_8000239,Free Text,Indicate dates of research activity at the location. If the site is no longer active include an end date. Otherwise specify as Start date - Present (as of date metadata was entered)  ,text,
Research_Theme,,,Free Text,A 5-10 word highlight for the type of scientific research conducted at the location,text,
Description,,,Free Text,A brief description of location and the purpose of data collection there,text,
Geographic_Region,,,Controlled List,"This can be a region or subregion (or subcatchment) that the location belongs to. See Geographic Region tab and fill in appropriate code. If region is not listed, contact wfsfa-data@googlegroups.com",text,
Parent_Location_ID,,,Controlled List,"This is used to construct the location hierarchy, and should be either another location ID or a region/sub-region/plot/transect that the location is a part of. See the Geographic Region or Plots tab to fill in the appropriate parent location. If a region or plot is not listed, contact wfsfa-data@googlegroups.com",text,
Latitude,,,Decimal Degrees,"Coordinates for a point measurement. If the location is a plot, use the Plot tab to enter the bounding box coordinates",numeric,
Longitude,,,Decimal Degrees,"Coordinates for a point measurement. If the location is a plot, use the Plot tab to enter the bounding box coordinates",numeric,
Lat_Long_Measurement_Method,Latitude,bervo:BERVO_8000395,Free Text,How the latitude/longitude coordinates were obtained indicative of measurement precision,text,
Topographical_Elevation,,,m,The ground surface elevation of the location ,numeric,
